,S,B,C,L
2018-10-30,0.20336908996946126,0.16463957850501326,0.17960620937746516,0.45238512214806037
2018-10-31,0.20163451882123365,0.19169471453248746,0.16804725728587463,0.4386235093604041
2018-11-01,0.2032631412832824,0.22225064396386254,0.15871572871540077,0.4157704860374543
2018-11-02,0.20707729452136436,0.10531660304358538,0.1964386250718945,0.49116747736315586
2018-11-05,0.2093564448349918,0.1121752652801338,0.2015227899119174,0.47694549997295704
2018-11-06,0.18733551309029953,0.22094961161332707,0.19112518227061842,0.400589693025755
2018-11-07,0.18450614090379283,0.22988214197777027,0.19244119892738965,0.39317051819104726
2018-11-08,0.17220596680601444,0.22078050173280714,0.20729814471510272,0.3997153867460757
2018-11-09,0.19312206472256824,0.07393540191299681,0.23821371198286914,0.49472882138156576
2018-11-12,0.20278514405180212,0.0,0.2527583209688511,0.5444565349793469
2018-11-13,0.20770694974470363,0.0,0.2472414027037124,0.545051647551584
2018-11-14,0.2054976906588484,0.05362165933295366,0.2222261974304229,0.5186544525777751
2018-11-15,0.21039624333109588,0.04231579690085316,0.22148493415823772,0.5258030256098133
2018-11-16,0.21489924508640473,8.361909255294453e-18,0.22965129167105214,0.5554494632425432
2018-11-19,0.22018221481112496,1.6263032587282567e-19,0.22218839983366226,0.5576293853552128
2018-11-20,0.21840871472814394,1.895659735955124e-18,0.22154831722889798,0.5600429680429581
2018-11-21,0.22063134303769613,0.0,0.19800065040780618,0.5813680065544977
2018-11-23,0.2180052805507193,2.4940885131902877e-18,0.19822759831468637,0.5837671211345944
2018-11-26,0.22255347340728854,0.0,0.18550275045527137,0.5919437761374402
2018-11-27,0.21583054990590325,5.929865905490543e-18,0.18615292516816512,0.5980165249259316
2018-11-28,0.2154871427363264,0.0,0.18692086886554515,0.5975919883981284
2018-11-29,0.21459978075258215,6.0463329357380094e-18,0.1798710748519465,0.6055291443954713
2018-11-30,0.22017995689809844,0.0,0.17267378711282982,0.6071462559890717
2018-12-03,0.21916566808620838,0.0,0.173851376532403,0.6069829553813886
2018-12-04,0.22926363437616107,0.0,0.1584273128345142,0.6123090527893248
2018-12-06,0.25254873599898386,0.0,0.13427312487330334,0.6131781391277129
2018-12-07,0.25204776769447534,5.965719726529446e-18,0.13577413538718316,0.6121780969183416
2018-12-10,0.24523410595233308,0.0,0.14362024787488792,0.6111456461727791
2018-12-11,0.2427232861000039,0.0,0.1503632913304212,0.6069134225695749
2018-12-12,0.24373520745965113,3.812709403478131e-18,0.14878615342425663,0.6074786391160922
2018-12-13,0.2500145379907555,0.0,0.1372038391111696,0.6127816228980749
2018-12-14,0.2454130054778054,0.0,0.14188943511957514,0.6126975594026195
2018-12-17,0.24242615983770482,5.6276869015575715e-18,0.10237020895438059,0.6552036312079146
2018-12-18,0.23765623266485125,0.0,0.09600419521162838,0.6663395721235204
2018-12-19,0.22844802167728956,0.020876469073310127,0.09366303131223684,0.6570124779371634
2018-12-20,0.2181380279616534,0.12294610359381215,0.07955582386184547,0.5793600445826891
2018-12-21,0.22998889825617075,0.023775735944663073,0.09406421048462119,0.6521711553145451
2018-12-24,0.23834663939112608,0.0,0.09851572109775353,0.6631376395111205
2018-12-26,0.23252476135886896,8.714486719589055e-18,0.09444395273494266,0.6730312859061884
